front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s],rw_speed[rad/s],lw_speeed[rad/s]
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.606304,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.606379,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6064563,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6065307,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6066058,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6066968,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6067812,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.606858,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6069353,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6070106,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6070867,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6071613,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6072369,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6073108,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.607387,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.607461,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6075368,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6076117,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.607702,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6077845,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6078646,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6079407,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6080167,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6080904,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6081667,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6082413,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6083171,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.608392,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.608468,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.608542,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.608619,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6087108,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6087947,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6088784,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.608961,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.609051,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6091259,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.609201,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6092768,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.609354,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6094298,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.609506,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6095808,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6096575,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6097672,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6098757,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6099596,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6100469,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6101313,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.610221,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6103027,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.610391,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6104665,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6105437,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.61062,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6106966,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6107879,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6108723,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6109543,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6110325,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6111083,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6111848,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6112611,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.611338,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6114137,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6114893,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6115663,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6116426,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6117191,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6118097,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6118937,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6119728,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6120503,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.612128,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6122048,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6122816,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6123579,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6124353,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6125114,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6125875,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6126637,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6127405,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6128304,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6129148,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6129947,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6130724,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6131501,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6132262,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6133022,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6133788,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.613454,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6135304,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.613607,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6136825,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6138008,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6138952,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6139805,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6140604,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6141374,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6142144,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6142907,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6143572,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6143837,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.61441,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6144361,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6144626,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.614489,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6145167,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6145434,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6145701,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6145964,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6146224,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6146488,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.620025,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.620146,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6202297,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6203144,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6203792,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6204448,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6204739,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6205015,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6205387,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6205683,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6205947,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.620636,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6206641,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6206896,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.620723,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.620759,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.620805,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.62085,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6208773,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6209207,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6209588,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.620996,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.621039,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6210663,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6210923,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6211202,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.621147,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6211736,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6211998,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6212254,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.621251,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6212766,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6213028,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6213286,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6213548,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6213806,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6214063,0.0,0.0
