pid_align,output_align,error,angle,distance
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6013245994500721,0,0.0,150.0
-0.3,-0.6014772063000237,0,0.0,150.0
-0.3,-0.6014772063000237,0,0.0,150.0
