Full Time,9.662449836730957,,,,,,,,,,,,,,,
Full Distance,1320,,,,,,,,,,,,,,,
Base Speed,2.5,,,,,,,,,,,,,,,
int,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2,,,,,
41,1644502850.489603,675.0,693.0,0.3,500.0,18.0,0.09204684886340674,813.510737782943,2.3643290996551514,3.847043991088867,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
42,1644502850.4976232,675.0,693.0,0.3,500.0,18.0,0.09204684886340674,813.510737782943,2.3643290996551514,3.847043991088867,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
43,1644502850.500281,675.0,693.0,0.3,500.0,18.0,0.09204684886340674,813.510737782943,2.3643290996551514,3.847043991088867,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
44,1644502850.5084004,675.0,693.0,0.3,500.0,18.0,0.09204684886340674,813.510737782943,2.5646960735321045,4.167631149291992,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
45,1644502850.5108302,675.0,693.0,0.3,500.0,18.0,0.09204684886340674,813.510737782943,2.5646960735321045,4.167631149291992,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
46,1644502850.512853,675.0,693.0,0.3,500.0,18.0,0.09204684886340674,813.510737782943,2.5646960735321045,4.167631149291992,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
47,1644502850.5206392,675.0,693.0,0.3,500.0,18.0,0.09204684886340674,814.6650969154992,2.6448426246643066,4.448144912719727,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
48,1644502850.5285494,675.0,693.0,0.3,500.0,18.0,0.09204684886340674,814.6650969154992,2.6448426246643066,4.448144912719727,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
49,1644502850.537227,677.0,696.0,0.3,500.0,19.0,0.09712929786810859,814.6650969154992,2.6448426246643066,4.448144912719727,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
50,1644502850.5409186,677.0,696.0,0.3,500.0,19.0,0.09712929786810859,814.6650969154992,2.724989652633667,4.728658199310303,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
51,1644502850.5651207,677.0,696.0,0.3,500.0,19.0,0.09712929786810859,818.311579283385,2.724989652633667,4.728658199310303,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
52,1644502850.5948925,677.0,696.0,0.3,500.0,19.0,0.09712929786810859,818.311579283385,3.045576333999634,5.249612331390381,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
53,1644502850.608602,679.0,696.0,0.3,500.0,17.0,0.08695962656792519,818.311579283385,3.2860167026519775,5.449979305267334,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
